gender,Name,Country,Birth,AwardYear,Category,Theme
male,Richard Willstätter,Germany,1872,1915,Chemistry,"for his researches on plant pigments, especially chlorophyll"
male,Romain Rolland,France,1866,1915,Literature,as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings
male,Lawrence Bragg,Australia,1890,1915,Physics,for their services in the analysis of crystal structure by means of X-rays
male,Verner von Heidenstam,Sweden,1859,1916,Literature,in recognition of his significance as the leading representative of a new era in our literature
male,Charles Glover Barkla,United Kingdom,1877,1917,Physics,for his discovery of the characteristic R&ouml;ntgen radiation of the elements
male,Karl Gjellerup,Denmark,1857,1917,Literature,"for his varied and rich poetry, which is inspired by lofty ideals"
male,Henrik Pontoppidan,Denmark,1857,1917,Literature,for his authentic descriptions of present-day life in Denmark
male,Fritz Haber,Prussia,1868,1918,Chemistry,for the synthesis of ammonia from its elements
male,Max Planck,Schleswig,1858,1918,Physics,in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta
male,Carl Spitteler,Switzerland,1845,1919,Literature,"in special appreciation of his epic, <I>Olympian Spring</I>"
male,Woodrow Wilson,USA,1856,1919,Peace,for his role as founder of the League of Nations
male,Jules Bordet,Belgium,1870,1919,Physiology or Medicine,for his discoveries relating to immunity
male,Johannes Stark,Germany,1874,1919,Physics,for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields
male,Knut Hamsun,Norway,1859,1920,Literature,"for his monumental work, <I>Growth of the Soil</I>"
male,August Krogh,Denmark,1874,1920,Physiology or Medicine,for his discovery of the capillary motor regulating mechanism
male,Walther Nernst,Prussia,1864,1920,Chemistry,in recognition of his work in thermochemistry
male,Charles Edouard Guillaume,Switzerland,1861,1920,Physics,in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys
male,Léon Bourgeois,France,1851,1920,Peace,for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations
male,Hjalmar Branting,Sweden,1860,1921,Peace,for their lifelong contributions to the cause of peace and organized internationalism
male,Frederick Soddy,United Kingdom,1877,1921,Chemistry,"for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes"
male,Christian Lange,Norway,1869,1921,Peace,for their lifelong contributions to the cause of peace and organized internationalism
male,Albert Einstein,Germany,1879,1921,Physics,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect"
male,Anatole France,France,1844,1921,Literature,"in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament"
male,Jacinto Benavente,Spain,1866,1922,Literature,for the happy manner in which he has continued the illustrious traditions of the Spanish drama
male,Archibald V. Hill,United Kingdom,1886,1922,Physiology or Medicine,for his discovery relating to the production of heat in the muscle
male,Francis W. Aston,United Kingdom,1877,1922,Chemistry,"for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule"
male,Otto Meyerhof,Germany,1884,1922,Physiology or Medicine,for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle
male,Fridtjof Nansen,Norway,1861,1922,Peace,"for his leading role in the repatriation of prisoners of war, in international relief work and as the League of Nations' High Commissioner for refugees"
male,Niels Bohr,Denmark,1885,1922,Physics,for his services in the investigation of the structure of atoms and of the radiation emanating from them
male,Frederick G. Banting,Canada,1891,1923,Physiology or Medicine,for the discovery of insulin
male,William Butler Yeats,Ireland,1865,1923,Literature,"for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation"
male,John Macleod,Scotland,1876,1923,Physiology or Medicine,for the discovery of insulin
male,Fritz Pregl,Austria-Hungary,1869,1923,Chemistry,for his invention of the method of micro-analysis of organic substances
male,Robert A. Millikan,USA,1868,1923,Physics,for his work on the elementary charge of electricity and on the photoelectric effect
male,Wladyslaw Reymont,Russian Empire,1867,1924,Literature,"for his great national epic, <I>The Peasants</I>"
male,Willem Einthoven,"Java, Dutch East Indies",1860,1924,Physiology or Medicine,for his discovery of the mechanism of the electrocardiogram
male,Manne Siegbahn,Sweden,1886,1924,Physics,for his discoveries and research in the field of X-ray spectroscopy
male,Charles G. Dawes,USA,1865,1925,Peace,for his crucial role in bringing about the Dawes Plan
male,James Franck,Germany,1882,1925,Physics,for their discovery of the laws governing the impact of an electron upon an atom
male,Sir Austen Chamberlain,United Kingdom,1863,1925,Peace,for his crucial role in bringing about the Locarno Treaty
male,George Bernard Shaw,Ireland,1856,1925,Literature,"for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty"
male,Richard Zsigmondy,Austrian Empire,1865,1925,Chemistry,"for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry"
male,Gustav Hertz,Germany,1887,1925,Physics,for their discovery of the laws governing the impact of an electron upon an atom
male,The Svedberg,Sweden,1884,1926,Chemistry,for his work on disperse systems
female,Grazia Deledda,Italy,1871,1926,Literature,for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general
male,Gustav Stresemann,Germany,1878,1926,Peace,for their crucial role in bringing about the Locarno Treaty
male,Johannes Fibiger,Denmark,1867,1926,Physiology or Medicine,for his discovery of the Spiroptera carcinoma
male,Aristide Briand,France,1862,1926,Peace,for their crucial role in bringing about the Locarno Treaty
male,Jean Baptiste Perrin,France,1870,1926,Physics,"for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium"
male,Julius Wagner-Jauregg,Austria,1857,1927,Physiology or Medicine,for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica
male,Ludwig Quidde,Germany,1858,1927,Peace,for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation
male,Ferdinand Buisson,France,1841,1927,Peace,for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation
male,Henri Bergson,France,1859,1927,Literature,in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented
male,Arthur H. Compton,USA,1892,1927,Physics,for his discovery of the effect named after him
male,Heinrich Wieland,Germany,1877,1927,Chemistry,for his investigations of the constitution of the bile acids and related substances
male,C.T.R. Wilson,Scotland,1869,1927,Physics,for his method of making the paths of electrically charged particles visible by condensation of vapour
male,Charles Nicolle,France,1866,1928,Physiology or Medicine,for his work on typhus
male,Adolf Windaus,Germany,1876,1928,Chemistry,for the services rendered through his research into the constitution of the sterols and their connection with the vitamins
male,Owen Willans Richardson,United Kingdom,1879,1928,Physics,for his work on the thermionic phenomenon and especially for the discovery of the law named after him
female,Sigrid Undset,Denmark,1882,1928,Literature,principally for her powerful descriptions of Northern life during the Middle Ages
male,Louis de Broglie,France,1892,1929,Physics,for his discovery of the wave nature of electrons
male,Frank B. Kellogg,USA,1856,1929,Peace,for his crucial role in bringing about the Briand-Kellogg Pact
male,Christiaan Eijkman,the Netherlands,1858,1929,Physiology or Medicine,for his discovery of the antineuritic vitamin
male,Arthur Harden,United Kingdom,1865,1929,Chemistry,for their investigations on the fermentation of sugar and fermentative enzymes
male,Hans von Euler-Chelpin,Germany,1873,1929,Chemistry,for their investigations on the fermentation of sugar and fermentative enzymes
male,Sir Frederick Hopkins,United Kingdom,1861,1929,Physiology or Medicine,for his discovery of the growth-stimulating vitamins
male,Thomas Mann,Germany,1875,1929,Literature,"principally for his great novel, <I>Buddenbrooks</I>, which has won steadily increased recognition as one of the classic works of contemporary literature"
male,Nathan Söderblom,Sweden,1866,1930,Peace,for promoting Christian unity and helping create 'that new attitude of mind which is necessary if peace between nations is to become reality'
male,Hans Fischer,Germany,1881,1930,Chemistry,for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin
male,Sir Chandrasekhara Venkata Raman,India,1888,1930,Physics,for his work on the scattering of light and for the discovery of the effect named after him
male,Karl Landsteiner,Austrian Empire,1868,1930,Physiology or Medicine,for his discovery of human blood groups
male,Sinclair Lewis,USA,1885,1930,Literature,"for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters"
male,Nicholas Murray Butler,USA,1862,1931,Peace,for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind
male,Friedrich Bergius,Germany,1884,1931,Chemistry,in recognition of their contributions to the invention and development of chemical high pressure methods
male,Otto Warburg,Germany,1883,1931,Physiology or Medicine,for his discovery of the nature and mode of action of the respiratory enzyme
female,Jane Addams,USA,1860,1931,Peace,for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind
male,Erik Axel Karlfeldt,Sweden,1864,1931,Literature,The poetry of Erik Axel Karlfeldt
male,Carl Bosch,Germany,1874,1931,Chemistry,in recognition of their contributions to the invention and development of chemical high pressure methods
male,John Galsworthy,United Kingdom,1867,1932,Literature,for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>
male,Irving Langmuir,USA,1881,1932,Chemistry,for his discoveries and investigations in surface chemistry
male,Werner Heisenberg,Germany,1901,1932,Physics,"for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen"
male,Sir Charles Sherrington,United Kingdom,1857,1932,Physiology or Medicine,for their discoveries regarding the functions of neurons
male,Edgar Adrian,United Kingdom,1889,1932,Physiology or Medicine,for their discoveries regarding the functions of neurons
male,Erwin Schrödinger,Austria,1887,1933,Physics,for the discovery of new productive forms of atomic theory
male,Sir Norman Angell,United Kingdom,1872,1933,Peace,for having exposed by his pen the illusion of war and presented a convincing plea for international cooperation and peace
male,Thomas H. Morgan,USA,1866,1933,Physiology or Medicine,for his discoveries concerning the role played by the chromosome in heredity
male,Paul A.M. Dirac,United Kingdom,1902,1933,Physics,for the discovery of new productive forms of atomic theory
male,Ivan Bunin,Russia,1870,1933,Literature,for the strict artistry with which he has carried on the classical Russian traditions in prose writing
male,William P. Murphy,USA,1892,1934,Physiology or Medicine,for their discoveries concerning liver therapy in cases of anaemia
male,George R. Minot,USA,1885,1934,Physiology or Medicine,for their discoveries concerning liver therapy in cases of anaemia
male,Arthur Henderson,Scotland,1863,1934,Peace,for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34
male,Luigi Pirandello,Italy,1867,1934,Literature,for his bold and ingenious revival of dramatic and scenic art
male,Harold C. Urey,USA,1893,1934,Chemistry,for his discovery of heavy hydrogen
male,George H. Whipple,USA,1878,1934,Physiology or Medicine,for their discoveries concerning liver therapy in cases of anaemia
male,James Chadwick,United Kingdom,1891,1935,Physics,for the discovery of the neutron
male,Frédéric Joliot,France,1900,1935,Chemistry,in recognition of their synthesis of new radioactive elements
female,Irène Joliot-Curie,France,1897,1935,Chemistry,in recognition of their synthesis of new radioactive elements
male,Carl von Ossietzky,Germany,1889,1935,Peace,for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace
male,Hans Spemann,Württemberg,1869,1935,Physiology or Medicine,for his discovery of the organizer effect in embryonic development
male,Eugene O'Neill,USA,1888,1936,Literature,"for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy"
male,Sir Henry Dale,United Kingdom,1875,1936,Physiology or Medicine,for their discoveries relating to chemical transmission of nerve impulses
male,Carlos Saavedra Lamas,Argentina,1878,1936,Peace,"for his role as father of the Argentine Antiwar Pact of 1933, which he also used as a means to mediate peace between Paraguay and Bolivia in 1935"
male,Peter Debye,the Netherlands,1884,1936,Chemistry,for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases
male,Carl D. Anderson,USA,1905,1936,Physics,for his discovery of the positron
male,Victor F. Hess,Austria,1883,1936,Physics,for his discovery of cosmic radiation
male,Otto Loewi,Germany,1873,1936,Physiology or Medicine,for their discoveries relating to chemical transmission of nerve impulses
male,Norman Haworth,United Kingdom,1883,1937,Chemistry,for his investigations on carbohydrates and vitamin C
male,George Paget Thomson,United Kingdom,1892,1937,Physics,for their experimental discovery of the diffraction of electrons by crystals
male,"Robert Cecil, Viscount Cecil of Chelwood",United Kingdom,1864,1937,Peace,"for his tireless effort in support of the League of Nations, disarmament and peace"
male,Roger Martin du Gard,France,1881,1937,Literature,for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>
male,Paul Karrer,Russia,1889,1937,Chemistry,"for his investigations on carotenoids, flavins and vitamins A and B2"
male,Clinton Davisson,USA,1881,1937,Physics,for their experimental discovery of the diffraction of electrons by crystals
male,Albert Szent-Györgyi,Austria-Hungary,1893,1937,Physiology or Medicine,"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid"
male,Enrico Fermi,Italy,1901,1938,Physics,"for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons"
male,Corneille Heymans,Belgium,1892,1938,Physiology or Medicine,for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration
male,Richard Kuhn,Austria-Hungary,1900,1938,Chemistry,for his work on carotenoids and vitamins
female,Pearl Buck,USA,1892,1938,Literature,for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces
male,Leopold Ruzicka,Austria-Hungary,1887,1939,Chemistry,for his work on polymethylenes and higher terpenes
male,Adolf Butenandt,Germany,1903,1939,Chemistry,for his work on sex hormones
male,Ernest Lawrence,USA,1901,1939,Physics,"for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements"
male,Gerhard Domagk,Germany,1895,1939,Physiology or Medicine,for the discovery of the antibacterial effects of prontosil
male,Frans Eemil Sillanpää,Russian Empire,1888,1939,Literature,for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature
male,Otto Stern,Germany,1888,1943,Physics,for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton
male,George de Hevesy,Austria-Hungary,1885,1943,Chemistry,for his work on the use of isotopes as tracers in the study of chemical processes
male,Edward A. Doisy,USA,1893,1943,Physiology or Medicine,for his discovery of the chemical nature of vitamin K
male,Henrik Dam,Denmark,1895,1943,Physiology or Medicine,for his discovery of vitamin K
male,Johannes V. Jensen,Denmark,1873,1944,Literature,"for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style"
male,Otto Hahn,Germany,1879,1944,Chemistry,for his discovery of the fission of heavy nuclei
male,Joseph Erlanger,USA,1874,1944,Physiology or Medicine,for their discoveries relating to the highly differentiated functions of single nerve fibres
male,Isidor Isaac Rabi,Austria-Hungary,1898,1944,Physics,for his resonance method for recording the magnetic properties of atomic nuclei
male,Herbert S. Gasser,USA,1888,1944,Physiology or Medicine,for their discoveries relating to the highly differentiated functions of single nerve fibres
male,Cordell Hull,USA,1871,1945,Peace,for his indefatigable work for international understanding and his pivotal role in establishing the United Nations
male,Sir Howard Florey,Australia,1898,1945,Physiology or Medicine,for the discovery of penicillin and its curative effect in various infectious diseases
male,Sir Alexander Fleming,Scotland,1881,1945,Physiology or Medicine,for the discovery of penicillin and its curative effect in various infectious diseases
male,Artturi Virtanen,Russian Empire,1895,1945,Chemistry,"for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method"
male,Ernst B. Chain,Germany,1906,1945,Physiology or Medicine,for the discovery of penicillin and its curative effect in various infectious diseases
male,Wolfgang Pauli,Austria,1900,1945,Physics,"for the discovery of the Exclusion Principle, also called the Pauli Principle"
female,Gabriela Mistral,Chile,1889,1945,Literature,"for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world"
male,Wendell M. Stanley,USA,1904,1946,Chemistry,for their preparation of enzymes and virus proteins in a pure form
male,John R. Mott,USA,1865,1946,Peace,for his contribution to the creation of a peace-promoting religious brotherhood across national boundaries
male,Hermann Hesse,Germany,1877,1946,Literature,"for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style"
male,John H. Northrop,USA,1891,1946,Chemistry,for their preparation of enzymes and virus proteins in a pure form
male,Hermann J. Muller,USA,1890,1946,Physiology or Medicine,for the discovery of the production of mutations by means of X-ray irradiation
female,Emily Greene Balch,USA,1867,1946,Peace,for her lifelong work for the cause of peace
male,Percy W. Bridgman,USA,1882,1946,Physics,"for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics"
male,James B. Sumner,USA,1887,1946,Chemistry,for his discovery that enzymes can be crystallized
female,Gerty Cori,Austria-Hungary,1896,1947,Physiology or Medicine,for their discovery of the course of the catalytic conversion of glycogen
male,André Gide,France,1869,1947,Literature,"for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight"
male,Sir Robert Robinson,United Kingdom,1886,1947,Chemistry,"for his investigations on plant products of biological importance, especially the alkaloids"
male,Bernardo Houssay,Argentina,1887,1947,Physiology or Medicine,for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar
male,Carl Cori,Austria-Hungary,1896,1947,Physiology or Medicine,for their discovery of the course of the catalytic conversion of glycogen
male,Edward V. Appleton,United Kingdom,1892,1947,Physics,for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer
male,Paul Müller,Switzerland,1899,1948,Physiology or Medicine,for his discovery of the high efficiency of DDT as a contact poison against several arthropods
